Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,38.669998,38.950001,38.430000,38.860001,34.681511,20135700
2018-01-03,38.720001,39.279999,38.529999,39.169998,34.958183,29536000
2018-01-04,39.049999,39.540001,38.930000,38.990002,35.057083,20731400
2018-01-05,39.549999,39.880001,39.369999,39.529999,35.542610,24588200
2018-01-08,39.520000,39.959999,39.349998,39.939999,35.911259,16582000
2018-01-09,39.790001,39.959999,39.540001,39.689999,35.686470,21449800
2018-01-10,39.650002,40.240002,39.630001,39.910000,35.884281,19473000
2018-01-11,40.139999,40.209999,39.750000,40.099998,36.055115,21685600
2018-01-12,40.220001,40.930000,40.049999,40.869999,36.747440,23770500
2018-01-16,40.900002,41.160000,40.320000,40.540001,36.450737,32845000
2018-01-17,40.840000,41.320000,40.709999,41.200001,37.044163,24427100
2018-01-18,41.240002,41.480000,41.029999,41.299999,37.134075,19610200
2018-01-19,41.279999,41.520000,41.099998,41.290001,37.125084,24582000
2018-01-22,41.200001,41.660000,41.020000,41.660000,37.457764,22995100
2018-01-23,41.540001,42.130001,41.540001,42.099998,37.853378,23984500
2018-01-24,42.200001,42.689999,42.009998,42.169998,37.916317,26696200
2018-01-25,42.270000,42.470001,41.820000,41.900002,37.673553,19207500
2018-01-26,42.150002,42.560001,41.950001,42.560001,38.266979,23380400
2018-01-29,42.299999,42.980000,42.299999,42.849998,38.527729,23625900
2018-01-30,42.689999,42.860001,41.970001,42.250000,37.988251,28993900
2018-01-31,41.980000,42.009998,41.349998,41.540001,37.349861,36512100
2018-02-01,41.090000,42.110001,40.669998,41.700001,37.493729,26148500
2018-02-02,41.500000,41.950001,40.869999,40.930000,36.801403,27224200
2018-02-05,40.869999,41.410000,38.720001,38.779999,34.868267,52399600
2018-02-06,38.330002,40.310001,37.349998,40.169998,36.118061,55171600
2018-02-07,40.310001,41.209999,40.029999,40.340000,36.270905,32690800
2018-02-08,40.439999,40.759998,38.720001,38.770000,34.859268,42982100
2018-02-09,39.000000,39.919998,38.230000,39.529999,35.542610,51304200
2018-02-12,40.520000,40.910000,40.230000,40.599998,36.504681,38210700
2018-02-13,40.500000,41.310001,40.220001,41.230000,37.071140,30999100
2018-02-14,41.040001,42.259998,40.990002,42.090000,37.844391,43835900
2018-02-15,45.070000,45.130001,43.259998,44.080002,39.633656,72267500
2018-02-16,43.889999,45.090000,43.790001,44.330002,39.858448,39267500
2018-02-20,44.000000,44.689999,43.810001,44.060001,39.615673,29006900
2018-02-21,44.110001,44.419998,43.279999,43.310001,38.941326,28499200
2018-02-22,43.490002,43.560001,42.750000,42.939999,38.608650,25887600
2018-02-23,43.369999,44.040001,42.919998,44.000000,39.561726,25781400
2018-02-26,44.299999,45.450001,44.130001,45.360001,40.784546,27771100
2018-02-27,45.410000,45.610001,44.619999,45.040001,40.496826,27419300
2018-02-28,45.270000,45.889999,44.779999,44.779999,40.263050,26885200
2018-03-01,44.680000,45.000000,43.349998,43.799999,39.381897,32154300
2018-03-02,43.290001,44.220001,43.099998,44.060001,39.615673,28848100
2018-03-05,43.919998,44.770000,43.700001,44.520000,40.029270,22101700
2018-03-06,44.650002,44.790001,44.139999,44.290001,39.822475,21930000
2018-03-07,44.029999,44.389999,43.799999,44.200001,39.741550,22034400
2018-03-08,44.250000,44.410000,43.939999,44.340000,39.867428,20285600
2018-03-09,44.619999,45.540001,44.610001,45.369999,40.793533,22230900
2018-03-12,45.529999,45.869999,45.400002,45.549999,40.955379,18299800
2018-03-13,45.779999,46.160000,44.919998,45.160000,40.604713,23411200
2018-03-14,45.340000,45.759998,45.090000,45.279999,40.712612,21141100
2018-03-15,45.299999,45.740002,45.119999,45.330002,40.757576,23520400
2018-03-16,45.330002,45.599998,44.970001,45.009998,40.469849,56129000
2018-03-19,44.590000,44.820000,43.900002,44.270000,39.804493,26734100
2018-03-20,44.490002,44.639999,44.180000,44.369999,39.894409,22809700
2018-03-21,44.240002,44.900002,44.130001,44.310001,39.840458,22528200
2018-03-22,43.759998,44.020000,43.020000,43.070000,38.725536,29520800
2018-03-23,43.709999,43.840000,42.419998,42.419998,38.141098,31759200
2018-03-26,43.250000,44.160000,42.830002,44.060001,39.615673,29731900
2018-03-27,44.490002,44.520000,42.240002,42.680000,38.374870,30942000
2018-03-28,42.509998,42.840000,41.619999,41.660000,37.457764,36696800
2018-03-29,41.939999,42.930000,41.580002,42.889999,38.563686,55021200
2018-04-02,42.520000,42.630001,40.529999,41.009998,36.873322,36791800
2018-04-03,41.340000,41.500000,40.720001,41.380001,37.206009,28003900
2018-04-04,40.389999,41.549999,40.189999,41.200001,37.341961,30117600
2018-04-05,41.500000,42.020000,41.380001,41.820000,37.903896,29331600
