Date,Open,High,Low,Close,Adj Close,Volume
2011-06-06,129.000000,130.899994,127.000000,127.766663,103.333687,35797891
2011-06-13,127.533333,130.533340,126.633331,127.833336,104.269882,34461548
2011-06-20,128.600006,131.000000,121.333336,130.066666,106.091545,56198862
2011-06-27,128.733337,137.666672,127.000000,134.366669,109.598946,55882940
2011-07-04,135.399994,136.733337,129.533340,133.699997,109.055153,52162071
2011-07-11,133.899994,136.666672,133.500000,134.500000,109.707687,41911406
2011-07-18,135.000000,139.466660,133.766663,138.266663,112.780037,42824101
2011-07-25,138.000000,140.833328,132.233337,138.899994,113.296631,75520169
2011-08-01,140.000000,140.833328,127.000000,130.933334,106.798454,68001347
2011-08-08,129.266663,135.233337,126.433334,132.000000,107.668503,78086610
2011-08-15,132.000000,137.333328,132.000000,132.800003,108.321045,54511513
2011-08-22,132.199997,136.199997,129.833328,131.233337,107.043159,56675829
2011-08-29,132.000000,137.666672,130.000000,135.500000,110.523346,41670496
2011-09-05,135.333328,135.899994,131.000000,131.766663,107.478172,54266777
2011-09-12,130.800003,134.566666,129.399994,131.966660,107.641312,44644760
2011-09-19,132.000000,133.100006,126.033333,127.766663,104.215492,43890237
2011-09-26,128.600006,135.300003,123.333336,132.000000,107.668503,67234861
2011-10-03,130.199997,133.500000,125.733330,132.766663,108.293869,79312515
2011-10-10,132.000000,137.266663,131.699997,136.800003,111.583717,42377232
2011-10-17,136.433334,138.500000,135.399994,136.000000,110.931175,34388100
2011-10-24,136.000000,144.133331,136.000000,143.666672,117.184669,51897072
2011-10-31,143.566666,143.666672,138.333328,140.233337,114.384209,47049331
2011-11-07,140.233337,143.333328,139.000000,141.766663,115.634888,28925280
2011-11-14,142.233337,143.533340,133.399994,134.533340,109.734871,44057191
2011-11-21,133.766663,135.100006,126.199997,128.166672,104.541763,66045020
2011-11-28,129.966660,138.000000,128.766663,137.666672,112.290627,48954556
2011-12-05,137.333328,138.666672,129.800003,131.433334,107.206291,35678690
2011-12-12,132.566666,135.566666,129.333328,130.533340,106.472198,58332974
2011-12-19,129.800003,136.666672,128.199997,136.000000,110.931175,52074404
2011-12-26,135.600006,137.333328,133.333328,134.199997,109.462967,30623317
2012-01-02,134.566666,135.399994,131.733337,134.733337,109.898010,40954213
